Ticker,year,total_assets,current_assets,current_liabilities,total_liabilities,total_debt,total_equity,revenue,gross_profit,ebit,interest_expense,net_income,operating_cash_flow,capital_expenditures,price_close,shares_outstanding,eps_basic,bvps,dividend_per_share
ATI.PS,2022,34631271000,9090971000,4105374000,12470092000,8698403000,22146099000,11153942000,11153942000,4977530000,505572000,2995782000,5922301000,2816544000,13.295278,2000000000,1.51241,11.0730495,0
ATI.PS,2023,36072931000,10098559000,3595210000,11521529000,8191409000,24535087000,12782281000,12782281000,6153616000,503531000,4399006000,6095864000,2202573000,14.352108,2000000000,2.21799,12.2675435,0
ATI.PS,2024,37747544000,10629775000,3913796000,11725409000,7977390000,26004818000,13572223000,13572223000,6586916000,468322000,4485382000,6167382000,2806213000,16.707022,1998013100,2.26238,13.01533909,0
ATN.PS,2016,2561856449,13901258,28648487,732117357,25259054,1829739092,17872322,10016519,2261627,669958,11341156,8362269,1645536,0.31,4500000000,0.0021,0.406608687,0
ATN.PS,2017,2705674474,62611337,49593988,883386723,26103823,1822287751,16664784,7493529,-5684009,1105684,3780879,2516189,993332,0.41,4500000000,0.00069,0.404952834,0
ATN.PS,2018,3125964830,59023614,90640848,994620108,43102212,2131344722,9825392,5255870,-4830632,1324687,310016858,-2705175,5454212,1.42,4500000000,0.06851,0.47363216,0
ATN.PS,2019,3487998425,41282235,49280416,1368425174,24649490,2119573251,16907231,9326785,-2388948,1573630,-8112780,-2004957,28905911,0.93,4500000000,-0.00261,0.471016278,0
ATN.PS,2020,3712346891,140985504,121043450,1600899971,85792138,2111446920,28931793,15518336,3621374,4583848,-5484643,1608216,41303681,0.85,4500000000,-0.00144,0.469210427,0
ATN.PS,2021,3737114412,33096022,55218470,1593904592,50748070,2143209820,18565051,10699763,2215118,3654034,-3602421,-17706138,54649708,0.39,4500000000,-0.00088,0.476268849,0
ATN.PS,2022,3757981520,33521258,51766937,1620816354,47000000,2137165166,34693627,12056993,4295917,2244901,2489404,2195497,0,0.355,4500000000,0.00057,0.474925592,0
ATN.PS,2023,3763066528,44576756,48423116,1181401192,44353000,2581665336,41081410,11823022,150051,2518020,-2792153,-21597470,23303571,0.38,6825055429,-0.00046,0.378262911,0
ATN.PS,2024,3802921663,71375402,48841407,1237082537,41303000,2565839126,12099763,3655911,-3872537,2948336,-6907422,-27350446,14405762,0.52,6825055429,-0.00106,0.375944072,0
AUB.PS,2015,1.53556E+11,0,0,1.33685E+11,12572810632,19729833024,5673541173,0,1760217367,0,1518601211,3170233412,475744730,14.928717,1455923794,1.04132,13.55141876,0
AUB.PS,2016,1.65501E+11,0,0,1.41732E+11,8009087665,23606354844,7046532828,0,2657483050,0,2304554850,10263459431,461838842,15.842496,1455924334,1.56761,16.21399841,0
AUB.PS,2017,1.99936E+11,0,0,1.73096E+11,8819225000,26655403000,8085600000,0,3393887000,0,2826117000,-6857780000,365550000,19.757691,1455924334,1.92369,18.30823373,0
AUB.PS,2018,2.37643E+11,0,0,2.08426E+11,9893713000,29071453000,9102000000,0,4008056000,0,3287465000,21386808000,352104000,19.592493,1455924334,2.27576,19.96769496,0
AUB.PS,2019,2.65994E+11,0,0,2.32835E+11,16283675000,33015274000,11772895000,0,5406072000,0,4440820000,5705832000,418420000,17.544036,1455924334,3.05426,22.67650401,0
AUB.PS,2020,3.1556E+11,0,0,2.80327E+11,15764750000,35084709000,14819117000,0,3857251000,2949360000,3027661000,50323037000,246720000,14.834788,1455924334,2.07633,24.09789312,0
AUB.PS,2021,3.17848E+11,0,0,2.79827E+11,9448150000,37857755000,12697697000,0,5073606000,1792270000,4067947000,713806000,243295000,14.289634,1455924334,2.78443,26.00255666,0
AUB.PS,2022,3.40127E+11,0,0,3.00233E+11,3048003000,39719871000,14746865000,0,7757913000,1980360000,6278727000,16049508000,252696000,13.694921,1455924334,4.30447,27.28154895,0
AUB.PS,2023,3.5519E+11,0,0,3.0632E+11,3418049000,48687533000,17488359000,0,10240669000,4661060000,8260589000,9759951000,571343000,16.35,1455931590,5.66815,33.44081091,0.165
AUB.PS,2024,3.86049E+11,0,0,3.27702E+11,3335084000,58146849000,20908092000,0,13878799000,4571680000,11354245000,-15233926000,388873000,30.75,1455931590,7.78741,39.93789914,0
AXLM.PS,2017,7280711000,2889739000,2253583000,2967361000,1426625000,4313350000,5793472000,1159569000,621970000,58167000,530750000,315970000,672442000,0,3300000000,0.16083,1.155560606,0
AXLM.PS,2018,7641434000,2545239000,2686635000,2991948000,1196848000,4649486000,5881345000,1378896000,727048000,54928000,364819000,909353000,559781000,0,3300000000,0.11055,1.181662424,0
AXLM.PS,2019,10559102000,5076923000,1707380000,1976091000,1598274000,8583011000,5302655000,1549132000,930879000,79506000,774807000,1112548000,724944000,2.548623,4000000000,0.23302,2.14575275,0
AXLM.PS,2020,10226040000,4814671000,1412824000,1492862000,926479000,8733178000,5167662000,1298052000,529644000,56173000,526414000,593460000,426277000,3.417694,3920571000,0.13288,2.227527062,0
AXLM.PS,2021,10081581000,4559113000,775012000,887732000,255829000,9193849000,6359548000,1736453000,816623000,31304000,715333000,137497000,199479000,2.929452,3814511500,0.18458,2.410229724,0
AXLM.PS,2022,11445626000,5138594000,1096708000,1154417000,560364000,10291209000,7042589000,2106352000,1072718000,27428000,983517000,827013000,679644000,2.46074,3798405500,0.25855,2.709349752,0
AXLM.PS,2023,11232239000,4971827000,1274223000,1278268000,815030000,9953971000,5678640000,969966000,-170665000,56779000,-818039000,127177000,200195000,2.343562,3798405500,-0.21536,2.567911983,0
AXLM.PS,2024,12367133000,6166664000,1627415000,1695490000,930811000,10671643000,7342514000,1899770000,707612000,70453000,688358000,547888000,236070000,2.529094,3798405500,0.18122,2.756852316,0
BALAI.PS,2020,177251908,154262950,5486590,17572386,13324687,159679522,110143631,53845598,-962863,1333872,-922142,-347716,2472322,0,1170005000,-0.00086,0.136477641,0
BALAI.PS,2021,200948009,134062179,19631645,36108484,23686798,164839525,148933421,77706868,7774570,1724646,8541566,20370405,43229754,0,1170005000,0.00792,0.140887881,0
BALAI.PS,2022,450558999,360744855,27538689,42025624,24403029,408533375,341159284,175732771,40426190,1760287,37133169,50003075,33533853,0.58,1495005000,0.02787,0.273265558,0
BALAI.PS,2023,561777870,357671285,83791901,101722410,77453339,460055460,535205651,273102768,68491595,2155447,58641614,84672189,136130739,0.39,1495005000,0.03923,0.307728376,0
BALAI.PS,2024,609748806,399344115,76178505,89332432,55806502,520416374,668000080,344923514,82758880,5192377,67835939,117579082,50479012,0.36,1495005000,0.04538,0.348103434,0
BC.PS,2015,6658361000,1723589000,1660453000,2844691000,808265000,3813670000,3257770000,1519900000,437832000,37735000,200672000,20181000,88619000,5.5,204820961,1.01195,18.61589254,0
BC.PS,2016,6558596000,1880327000,1731360000,2901488000,707548000,3657108000,1534244000,553758000,-73866000,13564000,-167377000,-40214000,108006000,2.23,615062883,-0.27231,5.944697853,0
BC.PS,2017,6565363000,1912796000,1729551000,2860719000,678629000,3704644000,1462893000,450674000,-29992000,4556000,21472000,22983000,61785000,1.73,615771183,0.0349,6.015057382,0
BC.PS,2018,6627477000,1278226000,1389284000,2689414000,530670000,3938063000,1008704000,207199000,-200419000,4828000,119042000,268015000,9083000,1.5,615771183,0.19325,6.394125137,0
BC.PS,2019,6921540000,813431000,1112953000,2509890000,515952000,4411650000,802067000,218630000,-121713000,2031000,115737000,-280960000,32037000,1.13,615771183,0.18733,7.163220888,0
BC.PS,2020,7379282000,1246659000,1171537000,2599240000,515152000,4780042000,1619725000,753760000,345370000,3130000,381385000,259300000,38118000,3.1,616122382,0.61879,7.757057915,0
BC.PS,2021,8749353000,2416934000,1160003000,2339820000,358129000,6409533000,3841888000,2561079000,1568798000,3888000,1421604000,1159335000,52553000,5.34,622922379,2.2908,10.28826097,0
BC.PS,2022,9909076000,3432868000,1015403000,2132810000,349142000,7776266000,4025195000,2674902000,1596360000,1102000,1331047000,1170405000,76604000,4.1,622922379,2.13678,12.48232727,0
BC.PS,2023,10337618000,3758226000,902400000,1970633000,347569000,8366985000,2531358000,1584406000,678391000,2776000,554143000,537463000,96563000,4.87,623184129,0.88912,13.42618435,0.2
BC.PS,2024,10867321000,3760284000,655144000,1698116000,15265000,9169205000,2385872000,1315959000,449420000,7355000,435670000,360157000,28841000,3.97,713184129,0.6108,12.85671488,0
BCOR.PS,2016,15596932707,10295298364,7845999342,7931571574,4234569558,7329471059,26501585414,6615834326,934025824,117419526,650560354,922566279,786030748,6.3,4341280855,0.03125,1.688319946,0
BCOR.PS,2017,14755461708,9305822624,7104041686,7550375430,4228551041,7185929442,28501621029,6844330558,1007279612,141814994,574280437,722484257,198603905,4.87,3998367747,0.15527,1.797215738,0
BCOR.PS,2018,17497367001,10950134994,8426949871,8995106303,4698429184,8484199172,30827417542,8119036520,1167559468,155704879,629301346,2124438885,268210461,4.5,3998367747,0.18101,2.121915669,0
BCOR.PS,2019,17600645192,11055696825,8168050991,8570769898,4050750716,9019704848,32461472061,8035741028,1272146703,167426551,882201377,1195307725,243135443,5.2,3998367747,0.19121,2.25584674,0
BCOR.PS,2020,20450399153,10209501770,9670379137,12525843566,7817145393,7906967700,25061664622,4969429197,-43868773,263683078,80566799,621292936,748394002,6,3998367747,0.01245,1.97754889,0
BCOR.PS,2021,19737222642,9011283688,7108495023,10866896943,5878171197,8842315233,29469459653,6512867319,798905467,213395135,708402767,865339261,1719675003,7,3998367747,0.12184,2.211481232,0
BCOR.PS,2022,24148053174,12102209984,9531202249,14228918909,7685086478,9913863996,36583444303,7926878716,1074447950,254523854,816062865,1718913524,1619787288,7.92,3997367747,0.21607,2.48009806,0
BCOR.PS,2023,29163965237,15240709360,13181330757,18247432142,9700724608,10909066075,38513232214,6364493602,622641295,374420994,357745547,1452137647,2026220598,7.51,4341280693,0.14166,2.512868171,0
BCOR.PS,2024,29594044509,14966114108,12788084796,18076513952,9515712235,11504949415,39926994875,6176580352,451463739,587307871,64380146,716221548,357778703,9.8,4341280693,0.05059,2.650127976,0
BDO.PS,2015,2.03136E+12,0,0,1.83164E+12,1.07573E+11,1.99095E+11,80480000000,0,30035000000,0,24956000000,379000000,6963000000,82.208049,4620238298,5.14652,41.97727206,0.95583
BDO.PS,2016,2.325E+12,0,0,2.10744E+12,1.10586E+11,2.16816E+11,95985000000,0,33033000000,0,26246000000,62715000000,5537000000,87.766879,4626058857,5.36957,45.75514635,1
BDO.PS,2017,2.6681E+12,0,0,2.36976E+12,1.40514E+11,2.97488E+11,1.14477E+11,0,37232000000,0,28105000000,-2819000000,6158000000,134.378289,5291044764,5.29789,55.2514698,1
