Ticker,year,total_assets,current_assets,current_liabilities,total_liabilities,total_debt,total_equity,revenue,gross_profit,ebit,interest_expense,net_income,operating_cash_flow,capital_expenditures,price_close,shares_outstanding,eps_basic,bvps,dividend_per_share
ROX.PS,2022,14918617000.0,1907511000.0,3043452000.0,9653331000.0,5518758000.0,5226747000.0,5257024000.0,29620000.0,-490552000.0,303447000.0,-692666000.0,498231000.0,935271000.0,0.77,1547935799.0,-0.44299,3.37659159,0.0
ROX.PS,2023,13493766000.0,4157585000.0,8604583000.0,10325492000.0,4485398000.0,3150811000.0,4214653000.0,-785649000.0,-1580091000.0,340985000.0,-1694706000.0,-1164858000.0,91542000.0,0.77,1547935799.0,-1.06905,2.035492042,0.0
RRHI.PS,2015,65159625473.0,23802224175.0,18525837007.0,19654349625.0,2844872558.0,43523764524.0,90882627706.0,17960015591.0,4728840722.0,14718429.0,4536873352.0,4517169567.0,3108979809.0,61.73874,1385000000.0,3.13487,31.42510074,0.51
RRHI.PS,2016,76695051629.0,30232287219.0,24477871631.0,26129506600.0,6575698733.0,47587427942.0,105293000000.0,20828234787.0,5492885079.0,86533530.0,5093068592.0,6193670933.0,3245684198.0,72.763515,1385000000.0,3.48747,34.35915375,0.63
RRHI.PS,2017,82180726832.0,34069910661.0,25356503809.0,26914087748.0,6377954863.0,51533272259.0,115238000000.0,23549595224.0,6305382183.0,127384471.0,5475713867.0,6788482346.0,3104719693.0,94.274076,1385000000.0,3.59425,37.20813882,0.7
RRHI.PS,2018,107777000000.0,39747311135.0,32488636348.0,35072939195.0,6794000000.0,68520728389.0,132680000000.0,27250800871.0,6625876142.0,159071734.0,5716398188.0,9039507246.0,4427030952.0,78.3984,1576489360.0,3.6456,43.46412359,0.72
RRHI.PS,2019,137866000000.0,46919908520.0,32964943189.0,61339673703.0,32686771073.0,72121593999.0,162916000000.0,30087674673.0,7798155994.0,2578499847.0,4445538076.0,11848610369.0,3346395390.0,78.3984,1576489360.0,2.48566,45.74822757,0.72
RRHI.PS,2020,141596000000.0,49372667568.0,36269086090.0,64005948729.0,36911440734.0,73052405597.0,151070000000.0,25793788831.0,5779397334.0,2326256810.0,3289100371.0,7495324484.0,1867821170.0,63.6987,1563460430.0,2.04802,46.72481899,1.0
RRHI.PS,2021,134234000000.0,46915955701.0,32525716501.0,57721564978.0,33566734988.0,71969077469.0,153327000000.0,28016919122.0,6059451315.0,1960893202.0,4558370285.0,7102122656.0,2456934404.0,65.4,1512010200.0,2.9493,47.59827511,0.83
RRHI.PS,2022,141526000000.0,51198476703.0,40097370290.0,64952470976.0,34432654262.0,72428935331.0,178821000000.0,35021069087.0,8698423166.0,1988135849.0,6422341169.0,16148083433.0,5551329355.0,53.85,1479176140.0,3.92685,48.96572719,2.0
RRHI.PS,2023,155023000000.0,48471331819.0,39273033183.0,75645023899.0,45413754140.0,75279988308.0,192126000000.0,37948448657.0,8941881813.0,3122961869.0,5470443023.0,14627211869.0,6517046012.0,39.65,1457597400.0,2.78395,51.64662636,2.0
